단계,작업 항목,예상 기간 (일),담당자,산출물
1. 기획,요구사항 분석,2,기획자/PM,요구사항 명세서
1. 기획,사용자 스토리 작성,1,기획자,사용자 스토리
1. 기획,기능 명세서 작성,2,기획자/개발자,기능 명세서
1. 기획,프로젝트 일정 수립,1,PM,프로젝트 계획서
2. 설계,DB 스키마 설계,3,백엔드 개발자,ERD
2. 설계,API 설계,2,백엔드 개발자,API 문서
2. 설계,UI/UX 와이어프레임,3,UI/UX 디자이너,와이어프레임
2. 설계,시스템 아키텍처 설계,2,시스템 설계자,아키텍처 다이어그램
3. 개발,백엔드 API 개발,7,백엔드 개발자,API 서버
3. 개발,프론트엔드 UI 개발,8,프론트엔드 개발자,웹 애플리케이션
3. 개발,데이터베이스 구축,2,DB 관리자,데이터베이스
3. 개발,인증/권한 시스템,3,백엔드 개발자,인증 모듈
3. 개발,기능 통합,2,풀스택 개발자,통합 시스템
4. 테스트,단위 테스트,3,개발자,테스트 리포트
4. 테스트,통합 테스트,2,개발자,통합 테스트 결과
4. 테스트,사용자 테스트,2,사용자/QA,사용자 피드백
5. 배포,운영 환경 구성,1,DevOps,배포 환경
5. 배포,배포 스크립트 작성,1,DevOps,배포 가이드
5. 배포,모니터링 설정,1,DevOps,모니터링 대시보드
